Designator,Mid X,Mid Y,Rotation,Layer
C1,101.11,-98.23,180.0,top
C2,101.11,-99.05,180.0,top
C3,104.41,-96.1,0.0,top
C4,106.07,-99.46,0.0,top
C5,106.07,-98.64,0.0,top
EEPROM1,30.4464,-83.095,0.0,top
FAN1,36.03,-108.25,270.0,top
FAN2,121.47,-108.25,90.0,top
IN1,83.83,-106.245,0.0,top
MCIO1,52.75,-24.7625,180.0,top
R1,110.6,-104.25,180.0,top
R10,114.453025,-97.45,90.0,top
R2,29.5,-72.5,0.0,top
R3,43.253025,-100.05,90.0,top
R4,40.753025,-100.05,90.0,top
R5,38.253025,-100.05,90.0,top
R6,35.753025,-100.05,90.0,top
R7,121.953025,-97.45,90.0,top
R8,119.453025,-97.45,90.0,top
R9,116.953025,-97.45,90.0,top
U1,103.5831,-99.054999,0.0,top
